Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       15     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00      0.00     0.00       15     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.00     0.00       15     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      0.00     0.00       15     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.00     0.00       15     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.00     0.00       15     0.00     0.00  std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&)
  0.00      0.00     0.00       14     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      0.00     0.00       14     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.00     0.00       14     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.00     0.00       14     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.00      0.00     0.00       12     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.00     0.00       12     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      0.00     0.00       12     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.00     0.00       12     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      0.00     0.00       12     0.00     0.00  std::__cxx11::list<int, std::allocator<int> > const& std::forward<std::__cxx11::list<int, std::allocator<int> > const&>(std::remove_reference<std::__cxx11::list<int, std::allocator<int> > const&>::type&)
  0.00      0.00     0.00       12     0.00     0.00  std::operator!=(std::_List_iterator<std::pair<int, int> > const&, std::_List_iterator<std::pair<int, int> > const&)
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00       11     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long) const
  0.00      0.00     0.00       11     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.00     0.00       11     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00       11     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00       11     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00       11     0.00     0.00  int* std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&, std::random_access_iterator_tag)
  0.00      0.00     0.00       11     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  std::iterator_traits<int*>::iterator_category std::__iterator_category<int*>(int* const&)
  0.00      0.00     0.00       11     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00       11     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      0.00     0.00       11     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       11     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00       11     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00       11     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       11     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  0.00      0.00     0.00       10     0.00     0.00  isUsed(int*, int, int)
  0.00      0.00     0.00       10     0.00     0.00  GFG::dfs(int, int, std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00       10     0.00     0.00  GFG::isPath(int, int, std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr()
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr()
  0.00      0.00     0.00       10     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       10     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       10     0.00     0.00  std::_List_iterator<std::pair<int, int> >::operator*() const
  0.00      0.00     0.00       10     0.00     0.00  std::__cxx11::_List_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_size() const
  0.00      0.00     0.00       10     0.00     0.00  std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_node_count() const
  0.00      0.00     0.00       10     0.00     0.00  std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::size() const
  0.00      0.00     0.00       10     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>)
  0.00      0.00     0.00       10     0.00     0.00  std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >::insert(int const&)
  0.00      0.00     0.00       10     0.00     0.00  std::_List_iterator<std::pair<int, int> >::operator++()
  0.00      0.00     0.00       10     0.00     0.00  std::__cxx11::_List_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Node_allocator()
  0.00      0.00     0.00       10     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00       10     0.00     0.00  std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >&)
  0.00      0.00     0.00       10     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable()
  0.00      0.00     0.00       10     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(int const&)
  0.00      0.00     0.00       10     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
  0.00      0.00     0.00       10     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.00      0.00     0.00       10     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr()
  0.00      0.00     0.00       10     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.00     0.00       10     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::deallocate(std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::_M_max_size() const
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr() const
  0.00      0.00     0.00        9     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  0.00      0.00     0.00        9     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_v() const
  0.00      0.00     0.00        9     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr() const
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::_List_iterator<std::pair<int, int> >::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        9     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::__allocated_ptr(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*)
  0.00      0.00     0.00        9     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::~__allocated_ptr()
  0.00      0.00     0.00        9     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::operator=(decltype(nullptr))
  0.00      0.00     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::deallocate(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::destroy<std::__cxx11::list<int, std::allocator<int> > >(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.00     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::allocate(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  std::__cxx11::_List_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_node()
  0.00      0.00     0.00        9     0.00     0.00  std::__cxx11::_List_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_inc_size(unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  std::__cxx11::_List_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_put_node(std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*)
  0.00      0.00     0.00        9     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00      0.00     0.00        9     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      0.00     0.00        9     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >* std::__addressof<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&)
  0.00      0.00     0.00        8     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.00     0.00        8     0.00     0.00  std::operator!=(std::_List_const_iterator<int> const&, std::_List_const_iterator<int> const&)
  0.00      0.00     0.00        7     0.00     0.00  std::__cxx11::list<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end()
  0.00      0.00     0.00        6     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00      0.00     0.00        6     0.00     0.00  std::allocator<std::_List_node<int> >::allocator(std::allocator<std::_List_node<int> > const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >::operator--()
  0.00      0.00     0.00        6     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::construct<std::__cxx11::list<int, std::allocator<int> >>(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.00     0.00        6     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.00     0.00        6     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >& std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::emplace_back<>()
  0.00      0.00     0.00        6     0.00     0.00  std::_List_node<std::__cxx11::list<int, std::allocator<int> > >* std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_create_node<>()
  0.00      0.00     0.00        6     0.00     0.00  std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::back()
  0.00      0.00     0.00        6     0.00     0.00  void std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_insert<>(std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >)
  0.00      0.00     0.00        6     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.00     0.00        6     0.00     0.00  std::remove_reference<std::allocator<std::_List_node<int> >&>::type&& std::move<std::allocator<std::_List_node<int> >&>(std::allocator<std::_List_node<int> >&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<int, false> >::deallocate(std::__detail::_Hash_node<int, false>*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<int, false> >::destroy<int>(int*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<int, false> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        5     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<int, false> >::construct<int, int const&>(int*, int const&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::pair<int, int> > >::deallocate(std::_List_node<std::pair<int, int> >*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::pair<int, int> > >::destroy<std::pair<int, int> >(std::pair<int, int>*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::pair<int, int> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        5     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::pair<int, int> > >::construct<std::pair<int, int>, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>&&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<int, false> >::_M_max_size() const
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::pair<int, int> > >::_M_max_size() const
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
